Title,Image,Price(Rs),Rating,Number of Reviews,Availability,Link,Resolution,Processor Brand,Processor Type,Processor Speed,Memory Technology,Hard Drive Size,Hard Disk Description,Graphics Coprocessor,Graphics Card Description,Graphics RAM Type,Operating System,Item Weight,Model Year,Computer Memory Type,Graphics Card Ram Size,Total USB ports,Battery Average Life
"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 7 4800H, 4GB NVIDIAGeForceRTX3050, Gaming Laptop (8GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.3 Kg), FA506ICB-HN005W",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,71490,4.3,98,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTU3MjQ4MTUyNzkyNTYxOjE2ODEwMTg5ODQ6c3BfYnRmOjIwMDYxNDkxNDQwMDk4OjowOjo&url=%2FASUS-15-6-inch-NVIDIA-GeForce-RTX-3050-Battery-FA506ICB-HN005W%2Fdp%2FB09ZXVY6NR%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681018984%26sprefix%3D%252Caps%252C683%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,1920 X 1080 (FHD) Pixels,AMD,Ryzen 7,4.2 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2021,SODIMM,4 GB,4,1 Hours
"ASUS TUF Dash F15 (2022), 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-12450H 12th Gen, RTX3050 4GB Graphics, Gaming Laptop (8GB/512GB SSD/Windows 11/Office 2021/Black/2 kg), FX517ZC-HN036WS",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31bGdREleFL._SX300_SY300_QL70_ML2_.jpg,81990,4.3,141,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTU3MjQ4MTUyNzkyNTYxOjE2ODEwMTg5ODQ6c3BfYnRmOjIwMDc5NjYzMzIwODk4OjowOjo&url=%2FASUS-15-6-inch-i5-12450H-RTX-3050-FX517ZC-HN036WS%2Fdp%2FB0B3DPZFGF%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681018984%26sprefix%3D%252Caps%252C683%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,2 GHz,,,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg,2022,SODIMM,4 GB,3,8 Hours
"HP Victus Gaming Latest AMD Ryzen 5 5600H Processor 16.1 inch(40.9 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/B&O/Backlit KB/Win 11/MS Office/Xbox Game Pass),16-E0162ax",https://m.media-amazon.com/images/I/41nJB6T+aKL._SY300_SX300_.jpg,55990,4.3,1340,In stock,https://www.amazon.in/HP-RX5500M-Graphics-Flicker-16-e0162AX/dp/B098QBT5KT/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B098QBT5KT&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-1-93291ede-2a7a-4e75-a6c2-b89c29736263,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,3.3 GHz,,,SSD,AMD Radeon RX 5500M,Dedicated,GDDR6,Windows 10 Home,2 kg 480 g,2021,,4 GB,4,4 Hours
"MSI Katana GF76, Intel 11th Gen i7-11800H, 43cm FHD 144 Hz Gaming Laptop(16GB/512GB NVMe SSD/Win11 Home/Nvidia RTX3060 6GB GDDR6/2.6Kg), 11UE-485IN, 5% Instant off on APay ICICI CreditCard(Prime only)",https://m.media-amazon.com/images/I/416lZVbhT5L._SX300_SY300_QL70_ML2_.jpg,99500,4.5,9,Only 1 left in stock,https://www.amazon.in/MSI-i7-11800H-Windows-RTX3060-11UE-485IN/dp/B0B8ZMNZ6L/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B0B8ZMNZ6L&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-3-93291ede-2a7a-4e75-a6c2-b89c29736263,"1080p, 1280 x 720",Intel,Intel Core i7,4600 MHz,,512 GB,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 600 g,2022,,,4,
"ASUS TUF Gaming A15, 15.6""(39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H,4GB GeForce GTX 1650 Laptop(8GB/512GB SSD/Win11/Black/2.3 Kg),FA506IHRZ-HN111W,5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,59990,4.3,220,In stock,https://www.amazon.in/ASUS-15-6-inch-GeForce-Windows-FA506IHRZ-HN111W/dp/B0B5DZTNZQ/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B0B5DZTNZQ&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-5-93291ede-2a7a-4e75-a6c2-b89c29736263,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,4 GHz,,,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,4 GB,4,8 Hours
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5600H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop 8GB/256GB SSD+1TB/ Windows 11 Home /NVIDIA GTX 1650 4GB/Alexa/3 Month Game Pass/Shadow Black/2.2Kg, 82K201Y9IN",https://m.media-amazon.com/images/I/41p6k6DT0iL._SY300_SX300_QL70_ML2_.jpg,53990,4.2,354,In stock,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82K201Y9IN/dp/B0B7RT53S1/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B0B7RT53S1&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-7-93291ede-2a7a-4e75-a6c2-b89c29736263,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,3.3 GHz,,1 TB,Hybrid,NVIDIA GeForce GTX 1650,Dedicated,,Windows 11 Home,2 kg 250 g,2022,DDR4 SDRAM,4 GB,3,4.5 Hours
Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51esjcOy79L._SY300_SX300_QL70_ML2_.jpg,1672,4.5,31577,In stock,https://www.amazon.in/Crucial-PC4-25600-SODIMM-260-Pin-Memory/dp/B08C4Z69LN/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B08C4Z69LN&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-2-93291ede-2a7a-4e75-a6c2-b89c29736263,,,,,,8 GB,,,,,,9.07 g,,DDR4 SDRAM,,,
XPG ADATA GAMMIX D30 DDR4 8GB (1x8GB) 3200MHz U-DIMM Desktop Memory - AX4U32008G16A-SR30,https://m.media-amazon.com/images/I/41r-kUJeA3L._SX300_SY300_QL70_ML2_.jpg,2006,4.5,2346,In stock,https://www.amazon.in/XPG-GAMMIX-3200MHz-Desktop-AX4U320038G16A-SR30/dp/B085HSGQ1Y/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B085HSGQ1Y&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-4-93291ede-2a7a-4e75-a6c2-b89c29736263,,,,,DDR4,,,,,,,40 g,,DDR4 SDRAM,,,
Corsair Vengeance LPX 8GB (1x8GB) DDR4 3200MHZ C16 Desktop RAM (Black),https://m.media-amazon.com/images/I/41PeD5Pdi8L._SX300_SY300_QL70_ML2_.jpg,2127,4.6,2194,In stock,https://www.amazon.in/CORSAIR-Vengeance-1x8GB-3200MHZ-Desktop/dp/B07PNW4Q3F/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B07PNW4Q3F&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-6-93291ede-2a7a-4e75-a6c2-b89c29736263,,,,,DDR4,,Solid State Drive,,,,,38 g,,DDR4 SDRAM,,,
Corsair Vengeance LPX 16GB (1x16GB) DDR4 3200MHZ UDIMM C16 Desktop RAM Memory Module,https://m.media-amazon.com/images/I/31Ya3GOeyeL._SY300_SX300_QL70_ML2_.jpg,3899,4.5,998,In stock,https://www.amazon.in/CORSAIR-Vengeance-1x16GB-3200MHZ-Desktop/dp/B07W8ZDDKT/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c%3Aamzn1.sym.2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&crid=2HIK3N7L03AWH&cv_ct_cx=gaming+laptop&keywords=gaming+laptop&pd_rd_i=B07W8ZDDKT&pd_rd_r=afdfb5aa-f156-4dc5-9180-3aee6ad82d98&pd_rd_w=4i0ar&pd_rd_wg=h2Jm2&pf_rd_p=2ebf6aef-07da-440f-8e9d-3a959a5bfb5c&pf_rd_r=N73N5703XQK8WB66CJ7C&qid=1681018984&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=1-8-93291ede-2a7a-4e75-a6c2-b89c29736263,,,,,,,,,,,,38 g,,DDR4 SDRAM,,,
"HP Pavilion Gaming 11th Gen Intel Core i5 15.6""(39.6cm) FHD Gaming Laptop (8GB RAM/512GB SSD/RTX 3050 4GB Graphics/144 Hz/B&O/Windows 10 Home/MS Office/2.23Kg), 15-dk2012TX, Black",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,69057,3.8,39,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODMzMTk2MzU0MjI4ODgyOjE2ODEwMTkwOTY6c3BfYXRmX25leHQ6MjAwNTg1ODE0NzIzOTg6OjA6Og&url=%2FHP-Pavilion-Graphics-Windows-15-dk2012TX%2Fdp%2FB09J2GR7X3%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019096%26sprefix%3D%252Caps%252C683%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,4.4 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 10 Home,2 kg 230 g,2021,DDR4 SDRAM,4,3,
"HP Victus Gaming Laptop AMD Ryzen 5 5600H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop (8GB RAM/512GB SSD/AMD Radeon RX 6500M Graphics(4GB GDDR6)/144Hz/9ms Response time/Backlit KB/B&O/Alexa),15-fb0777AX",https://m.media-amazon.com/images/I/41b3PmlPPuL._SX300_SY300_QL70_ML2_.jpg,59490,4.5,2,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODMzMTk2MzU0MjI4ODgyOjE2ODEwMTkwOTY6c3BfYXRmX25leHQ6MjAxNDE0OTkyNjc2OTg6OjA6Og&url=%2FHP-Graphics-Response-Backlit-15-fb0777AX%2Fdp%2FB0BSG1S3GN%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019096%26sprefix%3D%252Caps%252C683%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,1920x1080 Pixels,AMD,Ryzen 5,4.2 GHz,DDR4,512 GB,SSD,AMD Radeon RX 6500M,Dedicated,GDDR6,Windows 11 Home,2 kg 370 g,,,,,
"ASUS TUF Gaming F15 (2021), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 4GB Graphics, Gaming Laptop (8GB RAM/512GB NVMe SSD/Windows 11/Black/2.30 Kg), FX506LH-HN258W",https://m.media-amazon.com/images/I/51pwFj984WL._SX300_SY300_QL70_ML2_.jpg,54990,4.3,978,In stock,https://www.amazon.in/ASUS-i5-10300H-Graphics-Windows-FX506LH-HN258W/dp/B09RMTMBSM/ref=sr_1_19?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-19,1920 X 1080 (FHD) Pixels,Intel,Core i5,2.5 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,4 GB,4,6 Hours
"HP Victus Gaming Laptop 11th Gen Intel Core i5-11400H16.1 inch(40.9 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce GTX 1650 graphics/144Hz/Backlit KB/Wi11/MSO/B&O/Alexa),16-d0311TX",https://m.media-amazon.com/images/I/41b3PmlPPuL._SX300_SY300_QL70_ML2_.jpg,62990,2.5,10,In stock,https://www.amazon.in/HP-i5-11400H16-1-GeForce-graphics-16-d0311TX/dp/B0BSFZZKC1/ref=sr_1_20?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-20,1920x1080 Pixels,Intel,Core i5,4.5 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 480 g,2023,,,4,
"MSI Titan GT77 HX, Intel 13th Gen. i9-13980HX, 44CM FHD 144Hz Mini LED, HDR 1000 Gaming Laptop (64GB/4TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4090, 16GB GDDR6/Core Black/3.3Kg), 13VI-092IN",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41MobtLSyeL._SX300_SY300_QL70_ML2_.jpg,657036,2,4,Only 1 left in stock,https://www.amazon.in/MSI-i9-13980HX-Windows-GeForce-13VI-092IN/dp/B0BWJS72C1/ref=sr_1_21?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-21,,Intel,Intel Core i9,5.6 GHz,DDR5,4 TB,SSD,"NVIDIA GeForce RTX 4090, GDDR6 16GB",Dedicated,GDDR6,Windows 11 Home,3 kg 300 g,,DDR5 RAM,,,
"ASUS TUF Dash F15 (2022), 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-12450H 12th Gen, RTX3050 4GB Graphics, Gaming Laptop (8GB/512GB SSD/Windows 11/Office 2021/Black/2 kg), FX517ZC-HN036WS",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31bGdREleFL._SX300_SY300_QL70_ML2_.jpg,81990,4.3,141,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjM0NzEzODg2MjIwNDk1OjE2ODEwMTkwOTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDc5NjYzMzIwODk4OjowOjo&url=%2FASUS-15-6-inch-i5-12450H-RTX-3050-FX517ZC-HN036WS%2Fdp%2FB0B3DPZFGF%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%253Aamzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%26crid%3D2HIK3N7L03AWH%26cv_ct_cx%3Dgaming%2Blaptop%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB0B3DPZFGF%26pd_rd_r%3D0c7d15cc-2a35-4d2b-8cef-b804d749cf95%26pd_rd_w%3DMT94A%26pd_rd_wg%3DwyzOA%26pf_rd_p%3Daecf6855-ca22-4113-9547-36a39dda6fb4%26pf_rd_r%3DAZETD1FX5WDX6G1EXNGP%26qid%3D1681019096%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C683%26sr%3D1-17-351ffc08-24e1-40aa-a001-b834a6556c30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,2 GHz,,,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg,2022,SODIMM,4 GB,3,8 Hours
"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 7 4800H, 4GB NVIDIAGeForceRTX3050, Gaming Laptop (8GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.3 Kg), FA506ICB-HN005W",https://m.media-amazon.com/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,71490,4.3,98,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjM0NzEzODg2MjIwNDk1OjE2ODEwMTkwOTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDYxNDkxNDQwMDk4OjoxOjo&url=%2FASUS-15-6-inch-NVIDIA-GeForce-RTX-3050-Battery-FA506ICB-HN005W%2Fdp%2FB09ZXVY6NR%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%253Aamzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%26crid%3D2HIK3N7L03AWH%26cv_ct_cx%3Dgaming%2Blaptop%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB09ZXVY6NR%26pd_rd_r%3D0c7d15cc-2a35-4d2b-8cef-b804d749cf95%26pd_rd_w%3DMT94A%26pd_rd_wg%3DwyzOA%26pf_rd_p%3Daecf6855-ca22-4113-9547-36a39dda6fb4%26pf_rd_r%3DAZETD1FX5WDX6G1EXNGP%26qid%3D1681019096%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C683%26sr%3D1-18-351ffc08-24e1-40aa-a001-b834a6556c30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,1920 X 1080 (FHD) Pixels,AMD,Ryzen 7,4.2 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2021,SODIMM,4 GB,4,1 Hours
"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, 4GB NVIDIA GeForceGTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Office H&S/Black/2.3 Kg), FX506LHB-HN355WS",https://m.media-amazon.com/images/I/51pwFj984WL._SX300_SY300_QL70_ML2_.jpg,56990,4.3,978,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjM0NzEzODg2MjIwNDk1OjE2ODEwMTkwOTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDYxNDkxNDM5Nzk4OjoyOjo&url=%2FASUS-15-6-inch-i5-10300H-GeForce-GTX-FX506LHB-HN355WS%2Fdp%2FB09ZXM2B4N%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%253Aamzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%26crid%3D2HIK3N7L03AWH%26cv_ct_cx%3Dgaming%2Blaptop%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB09ZXM2B4N%26pd_rd_r%3D0c7d15cc-2a35-4d2b-8cef-b804d749cf95%26pd_rd_w%3DMT94A%26pd_rd_wg%3DwyzOA%26pf_rd_p%3Daecf6855-ca22-4113-9547-36a39dda6fb4%26pf_rd_r%3DAZETD1FX5WDX6G1EXNGP%26qid%3D1681019096%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C683%26sr%3D1-19-351ffc08-24e1-40aa-a001-b834a6556c30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,1920 X 1080 (FHD) Pixels,AMD,Core i5,2.5 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2021,SODIMM,4 GB,4,14.7 Hours
"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (12-Cores) Processor (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display, 1.8 Kg),Flat Rs: 2000 of All Bank Cards",https://m.media-amazon.com/images/I/41dgHDQs4RL._SX300_SY300_QL70_ML2_.jpg,63999,4,191,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjM0NzEzODg2MjIwNDk1OjE2ODEwMTkwOTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDU5MzI4MzEwMDk4OjozOjo&url=%2FAcer-12-Cores-Processor-Graphics-A515-57G%2Fdp%2FB0B5KTSVTG%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%253Aamzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%26crid%3D2HIK3N7L03AWH%26cv_ct_cx%3Dgaming%2Blaptop%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB0B5KTSVTG%26pd_rd_r%3D0c7d15cc-2a35-4d2b-8cef-b804d749cf95%26pd_rd_w%3DMT94A%26pd_rd_wg%3DwyzOA%26pf_rd_p%3Daecf6855-ca22-4113-9547-36a39dda6fb4%26pf_rd_r%3DAZETD1FX5WDX6G1EXNGP%26qid%3D1681019096%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C683%26sr%3D1-20-351ffc08-24e1-40aa-a001-b834a6556c30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,1920 x 1080 (FHD) Pixels,Intel,Core i5,3.3 GHz,,512 GB,SSD,NVIDIA GeForce RTX 2050,Dedicated,GDDR6,Windows 11 Home,1 kg 800 g,2022,DDR4 SDRAM,4 GB,4,
